Env,Rep,Gen,yield
1,1,1,1.2
1,2,1,1.2
2,1,1,1.5
2,2,1,1.5
3,1,1,1.1
3,2,1,1.1
4,1,1,1.5
4,2,1,1.4
5,1,1,1.1
5,2,1,1.1
6,1,1,1.3
6,2,1,1.3
1,1,2,1.8
1,2,2,1.7
2,1,2,1.4
2,2,2,1.4
3,1,2,1.6
3,2,2,1.6
4,1,2,1.6
4,2,2,1.6
5,1,2,1.4
5,2,2,1.4
6,1,2,1.5
6,2,2,1.5
1,1,3,1.4
1,2,3,1.4
2,1,3,1.4
2,2,3,1.5
3,1,3,1.3
3,2,3,1.3
4,1,3,1.6
4,2,3,1.6
5,1,3,1.2
5,2,3,1.2
6,1,3,1.5
6,2,3,1.4
1,1,4,1.2
1,2,4,1.2
2,1,4,1.2
2,2,4,1.3
3,1,4,1.1
3,2,4,1.1
4,1,4,1.4
4,2,4,1.4
5,1,4,1
5,2,4,1
6,1,4,1.1
6,2,4,1
1,1,5,1.3
1,2,5,1.4
2,1,5,1.7
2,2,5,1.7
3,1,5,1.3
3,2,5,1.2
4,1,5,1.6
4,2,5,1.5
5,1,5,1.3
5,2,5,1.4
6,1,5,1.5
6,2,5,1.5
1,1,6,1.4
1,2,6,1.6
2,1,6,1.5
2,2,6,1.6
3,1,6,1.4
3,2,6,1.4
4,1,6,1.6
4,2,6,1.7
5,1,6,1.3
5,2,6,1.3
6,1,6,1.4
6,2,6,1.4
1,1,7,1.4
1,2,7,1.4
2,1,7,1.6
2,2,7,1.5
3,1,7,1.4
3,2,7,1.4
4,1,7,1.3
4,2,7,1.5
5,1,7,1.3
5,2,7,1.1
6,1,7,1.2
6,2,7,1.2
1,1,8,1.2
1,2,8,1.4
2,1,8,1.3
2,2,8,1.2
3,1,8,1.1
3,2,8,1.3
4,1,8,1.5
4,2,8,1.4
5,1,8,1.1
5,2,8,1.1
6,1,8,1.3
6,2,8,1.3
1,1,9,0.9
1,2,9,0.8
2,1,9,0.8
2,2,9,0.9
3,1,9,1
3,2,9,1
4,1,9,1.1
4,2,9,1
5,1,9,0.9
5,2,9,0.9
6,1,9,0.9
6,2,9,0.8
1,1,10,1.1
1,2,10,1.1
2,1,10,1.1
2,2,10,1.2
3,1,10,1
3,2,10,1.1
4,1,10,1.6
4,2,10,1.5
5,1,10,1.2
5,2,10,1.1
6,1,10,1.3
6,2,10,1.3
1,1,11,1.2
1,2,11,1.2
2,1,11,1.5
2,2,11,1.5
3,1,11,1.3
3,2,11,1.3
4,1,11,1.5
4,2,11,1.5
5,1,11,1.4
5,2,11,1.2
6,1,11,1.4
6,2,11,1.3
1,1,12,1.3
