ENV,GEN,REP,BLOCK,YLD
Batan,2,1,1,8.67
Batan,3,1,3,6
Batan,4,1,6,6.67
Batan,5,1,6,1.67
Batan,6,1,3,6.67
Batan,7,1,1,6.67
Batan,8,1,2,6.67
Batan,9,1,1,7.33
Batan,10,1,1,8.33
Batan,11,1,5,6.67
Batan,12,1,6,4.33
Batan,13,1,3,7
Batan,14,1,5,6.67
Batan,15,1,5,6
Batan,16,1,3,7.33
Batan,17,1,4,7
Batan,18,1,1,6.67
Batan,19,1,4,6.67
Batan,20,1,4,8.33
Batan,21,1,4,7
Batan,22,1,2,8.33
Batan,23,1,5,6.67
Batan,24,1,2,8.33
Batan,25,1,4,6.67
Batan,26,1,2,8
Batan,27,1,5,6.67
Batan,28,1,3,5
Batan,29,1,2,6
Batan,30,1,6,6.33
Batan,2,2,3,7
Batan,3,2,2,6.33
Batan,4,2,3,5
Batan,5,2,2,5
Batan,6,2,1,4.33
Batan,7,2,2,5.67
Batan,8,2,1,6
Batan,9,2,4,5.33
Batan,10,2,1,7
Batan,11,2,5,7
Batan,12,2,1,5
Batan,13,2,6,6.67
Batan,14,2,4,6.67
Batan,15,2,6,6.67
Batan,16,2,3,6.67
Batan,17,2,1,5.33
Batan,18,2,5,6.33
Batan,19,2,2,6.67
Batan,20,2,6,6.33
Batan,21,2,5,6.33
Batan,22,2,4,6.67
Batan,23,2,2,7.33
Batan,24,2,6,7.33
Batan,25,2,4,6.67
Batan,26,2,3,6.67
Batan,27,2,3,7
Batan,28,2,4,4
Batan,29,2,5,3.33
Batan,30,2,6,7
Toluca,2,1,6,2.97
Toluca,3,1,1,4.35
Toluca,4,1,5,4.32
Toluca,5,1,3,3.17
Toluca,6,1,4,4.05
Toluca,7,1,6,4.08
Toluca,8,1,5,4.78
Toluca,9,1,6,1.81
Toluca,10,1,2,4.3
Toluca,11,1,1,3.74
Toluca,12,1,4,3.89
Toluca,13,1,6,4.3
Toluca,14,1,2,3.62
Toluca,15,1,4,4.57
Toluca,16,1,5,3.85
Toluca,17,1,4,4.3
Toluca,18,1,2,3.12
Toluca,19,1,3,3.62
Toluca,20,1,1,3.85
Toluca,21,1,3,4.08
Toluca,22,1,1,4.08
Toluca,23,1,3,3.15
Toluca,24,1,5,3.42
Toluca,25,1,5,2.97
Toluca,26,1,2,3.89
Toluca,27,1,3,3.85
Toluca,28,1,1,4.64
Toluca,29,1,4,3.44
Toluca,30,1,6,3.85
Toluca,2,2,5,3.62
Toluca,3,2,4,4.08
Toluca,4,2,4,3.4
Toluca,5,2,2,2.51
Toluca,6,2,6,3.98
Toluca,7,2,2,4.32
Toluca,8,2,5,4.32
Toluca,9,2,3,1.95
Toluca,10,2,3,4.21
Toluca,11,2,6,3.62
Toluca,12,2,3,3.85
Toluca,13,2,6,4.3
Toluca,14,2,5,3.85
Toluca,15,2,5,4.32
Toluca,16,2,2,4.14
Toluca,17,2,1,4.53
Toluca,18,2,1,3.17
Toluca,19,2,5,3.85
Toluca,20,2,1,3.8
Toluca,21,2,3,3.85
Toluca,22,2,2,3.28
Toluca,23,2,6,3.4
Toluca,24,2,1,4.03
Toluca,25,2,6,3.49
Toluca,26,2,4,2.74
Toluca,27,2,4,3.8
Toluca,28,2,3,3.74
Toluca,29,2,4,2.94
Toluca,30,2,1,3.8
Obregon,2,1,1,3.48
Obregon,3,1,2,3.78
Obregon,4,1,5,3.59
Obregon,5,1,5,3.12
Obregon,6,1,1,2.41
Obregon,7,1,5,3.53
Obregon,8,1,5,3.11
Obregon,9,1,6,3.51
Obregon,10,1,1,4.13
Obregon,11,1,2,4.46
Obregon,12,1,4,2.95
Obregon,13,1,3,4.04
Obregon,14,1,1,3.42
Obregon,15,1,6,3.59
Obregon,16,1,4,3.76
Obregon,17,1,5,3.29
Obregon,18,1,3,3.26
Obregon,19,1,2,3.62
Obregon,20,1,2,3.71
Obregon,21,1,4,3.89
Obregon,22,1,4,4.13
Obregon,23,1,6,3.43
Obregon,24,1,6,3.48
Obregon,25,1,1,3.59
Obregon,26,1,2,3.41
Obregon,27,1,3,2.93
Obregon,28,1,3,3.41
Obregon,29,1,6,2.62
Obregon,30,1,4,3.04
Obregon,2,2,6,3.3
Obregon,3,2,5,3.21
Obregon,4,2,1,2.8
Obregon,5,2,2,3.35
Obregon,6,2,3,2.83
Obregon,7,2,4,3.2
Obregon,8,2,6,4.18
Obregon,9,2,4,3.27
Obregon,10,2,2,3.64
Obregon,11,2,6,3.99
Obregon,12,2,3,3.33
Obregon,13,2,6,3.32
Obregon,14,2,4,3.28
Obregon,15,2,1,3.26
Obregon,16,2,4,3.48
Obregon,17,2,5,3.71
Obregon,18,2,5,2.91
Obregon,19,2,4,4.24
Obregon,20,2,3,3.53
Obregon,21,2,5,3.37
Obregon,22,2,2,3.64
Obregon,23,2,2,3.59
Obregon,24,2,6,3.48
Obregon,25,2,5,3.16
Obregon,26,2,1,3.74
Obregon,27,2,3,3.41
Obregon,28,2,1,2.85
Obregon,29,2,3,2.61
Obregon,30,2,1,3.13
AguaFria,2,1,4,9.42
AguaFria,3,1,3,7.97
AguaFria,4,1,2,6.88
AguaFria,5,1,2,8.33
AguaFria,6,1,3,8.33
AguaFria,7,1,4,9.78
AguaFria,8,1,4,9.78
AguaFria,9,1,6,7.61
AguaFria,10,1,2,7.97
AguaFria,11,1,4,9.06
